STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,YEAR,MONTH,TPCP,TPCP_CLASS,TSNW,TSNW_CLASS,MNTM,MNTM_CLASS
COOP:044374,JESS VALLEY CA US,1645.90,41.2683,-120.2947,2012,7,2,Low,0,Low,650,Medium
COOP:044374,JESS VALLEY CA US,1645.90,41.2683,-120.2947,2012,8,5,Low,0,Low,430,Low
COOP:044374,JESS VALLEY CA US,1645.90,41.2683,-120.2947,2012,9,39,Medium,0,Low,616,Medium
COOP:044374,JESS VALLEY CA US,1645.90,41.2683,-120.2947,2012,10,39,Medium,50,High,502,Low
COOP:044374,JESS VALLEY CA US,1645.90,41.2683,-120.2947,2012,11,133,High,110,High,412,Low
COOP:044374,JESS VALLEY CA US,1645.90,41.2683,-120.2947,2012,12,401,High,355,High,273,None
COOP:044374,JESS VALLEY CA US,1645.90,41.2683,-120.2947,2013,1,206,High,305,High,259,None
COOP:044374,JESS VALLEY CA US,1645.90,41.2683,-120.2947,2013,2,53,Medium,60,High,291,Low
COOP:044374,JESS VALLEY CA US,1645.90,41.2683,-120.2947,2013,3,42,Medium,10,High,385,Low
COOP:044374,JESS VALLEY CA US,1645.90,41.2683,-120.2947,2013,4,243,High,40,High,423,Low
COOP:044374,JESS VALLEY CA US,1645.90,41.2683,-120.2947,2013,5,324,High,25,High,491,Low
COOP:044374,JESS VALLEY CA US,1645.90,41.2683,-120.2947,2013,6,196,High,5,High,575,Medium
COOP:044374,JESS VALLEY CA US,1645.90,41.2683,-120.2947,2013,7,16,Low,0,Low,689,High
COOP:044374,JESS VALLEY CA US,1645.90,41.2683,-120.2947,2013,8,123,High,0,Low,635,Medium
COOP:044374,JESS VALLEY CA US,1645.90,41.2683,-120.2947,2013,9,130,High,0,Low,570,Medium
COOP:044374,JESS VALLEY CA US,1645.90,41.2683,-120.2947,2013,10,48,Medium,10,High,444,Low
COOP:044374,JESS VALLEY CA US,1645.90,41.2683,-120.2947,2013,11,96,Medium,0,Low,377,Low
COOP:044374,JESS VALLEY CA US,1645.90,41.2683,-120.2947,2013,12,35,Medium,70,High,290,Low
COOP:044374,JESS VALLEY CA US,1645.90,41.2683,-120.2947,2014,1,50,Medium,0,Low,363,Low
COOP:044374,JESS VALLEY CA US,1645.90,41.2683,-120.2947,2014,2,289,High,50,High,346,Low
COOP:044374,JESS VALLEY CA US,1645.90,41.2683,-120.2947,2014,3,403,High,65,High,390,Low
COOP:044374,JESS VALLEY CA US,1645.90,41.2683,-120.2947,2014,4,210,High,50,High,428,Low
COOP:044374,JESS VALLEY CA US,1645.90,41.2683,-120.2947,2014,5,94,Medium,0,Low,507,Low
COOP:044374,JESS VALLEY CA US,1645.90,41.2683,-120.2947,2014,6,69,Medium,0,Low,577,Medium
COOP:044374,JESS VALLEY CA US,1645.90,41.2683,-120.2947,2014,7,90,Medium,0,Low,700,High
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2011,1,139,High,0,Low,528,Low
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2011,2,473,High,0,Low,521,Low
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2011,3,769,High,0,Low,553,Medium
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2011,4,35,Medium,0,Low,575,Medium
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2011,5,125,High,0,Low,584,Medium
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2011,6,270,High,0,Low,621,Medium
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2011,7,0,None,0,Low,633,Medium
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2011,8,0,None,0,Low,634,Medium
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2011,9,0,None,0,Low,658,High
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2011,10,133,High,0,Low,643,Medium
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2011,11,186,High,0,Low,560,Medium
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2011,12,11,Low,0,Low,518,Low
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2012,1,283,High,0,Low,531,Medium
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2012,2,81,Medium,0,Low,548,Medium
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2012,3,718,High,0,Low,544,Medium
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2012,4,261,High,0,Low,583,Medium
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2012,5,2,Low,0,Low,605,Medium
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2012,6,11,Low,0,Low,627,Medium
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2012,7,2,Low,0,Low,631,Medium
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2012,8,0,None,0,Low,633,Medium
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2012,9,0,None,0,Low,625,Medium
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2012,10,137,High,0,Low,642,Medium
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2012,11,504,High,0,Low,592,Medium
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2012,12,706,High,0,Low,523,Low
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2013,1,39,Medium,0,Low,509,Low
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2013,2,49,Medium,0,Low,536,Medium
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2013,3,70,Medium,0,Low,573,Medium
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2013,4,121,High,0,Low,612,Medium
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2013,5,4,Low,0,Low,624,Medium
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2013,6,22,Low,0,Low,647,Medium
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2013,7,0,None,0,Low,635,Medium
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2013,8,0,None,0,Low,654,Medium
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2013,9,34,Medium,0,Low,671,High
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2013,10,0,None,0,Low,622,Medium
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2013,11,56,Medium,0,Low,588,Medium
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2013,12,15,Low,0,Low,516,Low
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2014,1,4,Low,0,Low,570,Medium
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2014,2,463,High,0,Low,556,Medium
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2014,3,257,High,0,Low,598,Medium
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2014,4,88,Medium,0,Low,602,Medium
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2014,5,0,None,0,Low,640,Medium
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2014,6,0,None,0,Low,637,Medium
COOP:046336,OAKLAND MUSEUM CA US,9.10,37.7983,-122.2642,2014,7,0,None,0,Low,665,High
COOP:041253,CACHUMA LAKE CA US,238.70,34.5825,-119.9808,2011,1,83,Medium,0,Low,537,Medium
COOP:041253,CACHUMA LAKE CA US,238.70,34.5825,-119.9808,2011,2,123,High,0,Low,501,Low
COOP:041253,CACHUMA LAKE CA US,238.70,34.5825,-119.9808,2011,3,198,High,0,Low,538,Medium
COOP:041253,CACHUMA LAKE CA US,238.70,34.5825,-119.9808,2011,4,101,Medium,0,Low,584,Medium
COOP:041253,CACHUMA LAKE CA US,238.70,34.5825,-119.9808,2011,5,1,Low,0,Low,601,Medium
COOP:041253,CACHUMA LAKE CA US,238.70,34.5825,-119.9808,2011,6,0,None,0,Low,641,Medium
COOP:041253,CACHUMA LAKE CA US,238.70,34.5825,-119.9808,2011,7,0,None,0,Low,713,High
COOP:041253,CACHUMA LAKE CA US,238.70,34.5825,-119.9808,2011,8,0,None,0,Low,705,High
COOP:041253,CACHUMA LAKE CA US,238.70,34.5825,-119.9816,2011,9,0,None,0,Low,708,High
COOP:041253,CACHUMA LAKE CA US,238.70,34.5825,-119.9816,2011,10,47,Medium,0,Low,663,High
COOP:041253,CACHUMA LAKE CA US,238.70,34.5825,-119.9816,2011,11,281,High,0,Low,541,Medium
COOP:041253,CACHUMA LAKE CA US,238.70,34.5825,-119.9816,2011,12,35,Medium,0,Low,498,Low
COOP:041253,CACHUMA LAKE CA US,238.70,34.5825,-119.9816,2012,1,158,High,0,Low,541,Medium
COOP:041253,CACHUMA LAKE CA US,238.70,34.5825,-119.9816,2012,2,43,Medium,0,Low,533,Medium
COOP:041253,CACHUMA LAKE CA US,238.70,34.5825,-119.9816,2012,3,363,High,0,Low,546,Medium
COOP:041253,CACHUMA LAKE CA US,238.70,34.5825,-119.9816,2012,4,321,High,0,Low,588,Medium
COOP:041253,CACHUMA LAKE CA US,238.70,34.5825,-119.9816,2012,5,2,Low,0,Low,634,Medium
COOP:041253,CACHUMA LAKE CA US,238.70,34.5825,-119.9816,2012,6,0,None,0,Low,663,High
COOP:041253,CACHUMA LAKE CA US,238.70,34.5825,-119.9816,2012,7,0,None,0,Low,696,High
COOP:041253,CACHUMA LAKE CA US,238.70,34.5825,-119.9816,2012,8,0,None,0,Low,739,High
COOP:041253,CACHUMA LAKE CA US,238.70,34.5825,-119.9816,2012,9,18,Low,0,Low,703,High
COOP:041253,CACHUMA LAKE CA US,242.30,34.5822,-119.9817,2012,10,12,Low,0,Low,659,High
COOP:041253,CACHUMA LAKE CA US,242.30,34.5822,-119.9817,2012,11,134,High,0,Low,369,Low
COOP:041253,CACHUMA LAKE CA US,242.30,34.5822,-119.9817,2012,12,295,High,0,Low,493,Low
COOP:041253,CACHUMA LAKE CA US,242.30,34.5822,-119.9817,2013,1,175,High,0,Low,489,Low
COOP:041253,CACHUMA LAKE CA US,242.30,34.5822,-119.9817,2013,2,40,Medium,0,Low,501,Low
COOP:041253,CACHUMA LAKE CA US,242.30,34.5822,-119.9817,2013,3,80,Medium,0,Low,569,Medium
COOP:041253,CACHUMA LAKE CA US,242.30,34.5822,-119.9817,2013,4,19,Low,0,Low,602,Medium
COOP:041253,CACHUMA LAKE CA US,242.30,34.5822,-119.9817,2013,5,2,Low,0,Low,637,Medium
COOP:041253,CACHUMA LAKE CA US,242.30,34.5822,-119.9817,2013,6,0,None,0,Low,683,High
COOP:041253,CACHUMA LAKE CA US,242.30,34.5822,-119.9817,2013,7,2,Low,0,Low,716,High
COOP:041253,CACHUMA LAKE CA US,242.30,34.5822,-119.9817,2013,8,0,None,0,Low,697,High
COOP:041253,CACHUMA LAKE CA US,242.30,34.5822,-119.9817,2013,9,0,None,0,Low,686,High
COOP:041253,CACHUMA LAKE CA US,242.30,34.5822,-119.9817,2013,10,34,Medium,0,Low,602,Medium
COOP:041253,CACHUMA LAKE CA US,242.30,34.5822,-119.9817,2013,11,113,Medium,0,Low,566,Medium
COOP:041253,CACHUMA LAKE CA US,242.30,34.5822,-119.9817,2013,12,18,Low,0,Low,504,Low
COOP:041253,CACHUMA LAKE CA US,242.30,34.5822,-119.9817,2014,1,2,Low,0,Low,560,Medium
COOP:041253,CACHUMA LAKE CA US,242.30,34.5822,-119.9817,2014,2,411,High,0,Low,534,Medium
COOP:041253,CACHUMA LAKE CA US,242.30,34.5822,-119.9817,2014,3,352,High,0,Low,568,Medium
COOP:041253,CACHUMA LAKE CA US,242.30,34.5822,-119.9817,2014,4,65,Medium,0,Low,585,Medium
COOP:041253,CACHUMA LAKE CA US,242.30,34.5822,-119.9817,2014,5,0,None,0,Low,665,High
COOP:041253,CACHUMA LAKE CA US,242.30,34.5822,-119.9817,2014,6,0,None,0,Low,670,High
COOP:041253,CACHUMA LAKE CA US,242.30,34.5822,-119.9817,2014,7,0,None,0,Low,725,High
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2011,1,153,High,0,Low,495,Low
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2011,2,250,High,0,Low,475,Low
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2011,3,438,High,0,Low,533,Medium
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2011,4,30,Low,0,Low,575,Medium
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2011,5,79,Medium,0,Low,602,Medium
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2011,6,28,Low,0,Low,675,High
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2011,7,0,None,0,Low,728,High
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2011,8,0,None,0,Low,727,High
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2011,9,1,Low,0,Low,724,High
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2011,10,98,Medium,0,Low,637,Medium
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2011,11,174,High,0,Low,515,Low
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2011,12,7,Low,0,Low,450,Low
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2012,1,149,High,0,Low,481,Low
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2012,2,14,Low,0,Low,503,Low
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2012,3,231,High,0,Low,523,Low
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2012,4,192,High,0,Low,584,Medium
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2012,5,21,Low,0,Low,649,Medium
