@relation 'Weather-Dated-weka.filters.unsupervised.attribute.Remove-R1-2,6,8,10,12-weka.filters.unsupervised.attribute.Remove-R5-6'

@attribute ELEVATION numeric
@attribute LATITUDE numeric
@attribute LONGITUDE numeric
@attribute MONTH numeric
@attribute MNTM_CLASS {Medium,Low,High,None}

@data
238.7,34.5825,-119.9816,7,High
238.7,34.5825,-119.9816,8,High
238.7,34.5825,-119.9816,9,High
242.3,34.5822,-119.9817,10,High
242.3,34.5822,-119.9817,11,Low
242.3,34.5822,-119.9817,12,Low
242.3,34.5822,-119.9817,1,Low
242.3,34.5822,-119.9817,2,Low
242.3,34.5822,-119.9817,3,Medium
242.3,34.5822,-119.9817,4,Medium
242.3,34.5822,-119.9817,5,Medium
242.3,34.5822,-119.9817,6,High
242.3,34.5822,-119.9817,7,High
242.3,34.5822,-119.9817,8,High
242.3,34.5822,-119.9817,9,High
242.3,34.5822,-119.9817,10,Medium
242.3,34.5822,-119.9817,11,Medium
242.3,34.5822,-119.9817,12,Low
242.3,34.5822,-119.9817,1,Medium
242.3,34.5822,-119.9817,2,Medium
242.3,34.5822,-119.9817,3,Medium
242.3,34.5822,-119.9817,4,Medium
242.3,34.5822,-119.9817,5,High
242.3,34.5822,-119.9817,6,High
242.3,34.5822,-119.9817,7,High
246.9,35.6697,-120.6283,1,Low
246.9,35.6697,-120.6283,2,Low
246.9,35.6697,-120.6283,3,Medium
246.9,35.6697,-120.6283,4,Medium
246.9,35.6697,-120.6283,5,Medium
246.9,35.6697,-120.6283,6,High
246.9,35.6697,-120.6283,7,High
246.9,35.6697,-120.6283,8,High
246.9,35.6697,-120.6283,9,High
246.9,35.6697,-120.6283,10,Medium
246.9,35.6697,-120.6283,11,Low
246.9,35.6697,-120.6283,12,Low
246.9,35.6697,-120.6283,1,Low
246.9,35.6697,-120.6283,2,Low
246.9,35.6697,-120.6283,3,Low
246.9,35.6697,-120.6283,4,Medium
246.9,35.6697,-120.6283,5,Medium
246.9,35.6697,-120.6283,6,High
246.9,35.6697,-120.6283,7,High
246.9,35.6697,-120.6283,8,High
246.9,35.6697,-120.6283,9,High
246.9,35.6697,-120.6283,10,Medium
246.9,35.6697,-120.6283,11,Medium
246.9,35.6697,-120.6283,12,Low
246.9,35.6697,-120.6283,1,Low
246.9,35.6697,-120.6283,2,Low
246.9,35.6697,-120.6283,3,Medium
246.9,35.6697,-120.6283,4,Medium
246.9,35.6697,-120.6283,5,High
246.9,35.6697,-120.6283,6,High
246.9,35.6697,-120.6283,7,High
246.9,35.6697,-120.6283,8,High
246.9,35.6697,-120.6283,9,High
246.9,35.6697,-120.6283,10,Medium
246.9,35.6697,-120.6283,11,Medium
246.9,35.6697,-120.6283,12,Low
246.9,35.6697,-120.6283,1,Low
246.9,35.6697,-120.6283,2,Medium
246.9,35.6697,-120.6283,3,Medium
246.9,35.6697,-120.6283,4,Medium
246.9,35.6697,-120.6283,5,High
246.9,35.6697,-120.6283,6,High
246.9,35.6697,-120.6283,7,High
603.5,41.8391,-122.8502,1,None
603.5,41.8391,-122.8502,2,None
603.5,41.8391,-122.8502,3,None
603.5,41.8391,-122.8502,4,None
603.5,41.8391,-122.8502,5,None
603.5,41.8391,-122.8502,6,None
603.5,41.8391,-122.8502,7,None
603.5,41.8391,-122.8502,8,None
603.5,41.8391,-122.8502,9,None
603.5,41.8391,-122.8502,10,None
603.5,41.8391,-122.8502,11,None
603.5,41.8391,-122.8502,12,None
603.5,41.8391,-122.8502,1,None
603.5,41.8391,-122.8502,2,None
603.5,41.8391,-122.8502,3,None
603.5,41.8391,-122.8502,4,None
603.5,41.8391,-122.8502,5,None
603.5,41.8391,-122.8502,6,None
603.5,41.8391,-122.8502,7,None
603.5,41.8391,-122.8502,8,None
603.5,41.8391,-122.8502,9,None
603.5,41.8391,-122.8502,10,None
603.5,41.8391,-122.8502,11,None
603.5,41.8391,-122.8502,12,None
603.5,41.8391,-122.8502,1,None
603.5,41.8391,-122.8502,2,None
603.5,41.8391,-122.8502,3,None
603.5,41.8391,-122.8502,4,None
603.5,41.8391,-122.8502,5,None
603.5,41.8391,-122.8502,6,None
603.5,41.8391,-122.8502,7,None
603.5,41.8391,-122.8502,8,None
603.5,41.8391,-122.8502,9,None
603.5,41.8391,-122.8502,10,None
603.5,41.8391,-122.8502,11,None
603.5,41.8391,-122.8502,12,None
603.5,41.8391,-122.8502,1,None
603.5,41.8391,-122.8502,2,None
603.5,41.8391,-122.8502,3,None
603.5,41.8391,-122.8502,4,None
603.5,41.8391,-122.8502,5,None
603.5,41.8391,-122.8502,6,None
603.5,41.8391,-122.8502,7,None
82,35.4047,-119.4731,1,Low
82,35.4047,-119.4731,2,Low
82,35.4047,-119.4731,3,Medium
82,35.4047,-119.4731,4,Medium
82,35.4047,-119.4731,5,Medium
82,35.4047,-119.4731,6,High
82,35.4047,-119.4731,7,High
82,35.4047,-119.4731,8,High
82,35.4047,-119.4731,9,High
82,35.4047,-119.4731,10,High
82,35.4047,-119.4731,11,Medium
82,35.4047,-119.4731,12,Low
82,35.4047,-119.4731,1,Low
82,35.4047,-119.4731,2,Medium
82,35.4047,-119.4731,3,Medium
82,35.4047,-119.4731,4,Medium
82,35.4047,-119.4731,5,High
82,35.4047,-119.4731,6,High
82,35.4047,-119.4731,7,High
82,35.4047,-119.4731,8,Medium
82,35.4047,-119.4731,9,High
82,35.4047,-119.4731,10,High
82,35.4047,-119.4731,11,Medium
82,35.4047,-119.4731,12,Low
82,35.4047,-119.4731,1,Low
82,35.4047,-119.4731,2,Low
82,35.4047,-119.4731,3,Medium
82,35.4047,-119.4731,4,High
82,35.4047,-119.4731,5,High
82,35.4047,-119.4731,6,High
82,35.4047,-119.4731,7,High
82,35.4047,-119.4731,8,High
82,35.4047,-119.4731,9,High
82,35.4047,-119.4731,10,Low
82,35.4047,-119.4731,11,Medium
82,35.4047,-119.4731,12,Low
82,35.4047,-119.4731,1,Low
82,35.4047,-119.4731,2,Medium
82,35.4047,-119.4731,3,Medium
82,35.4047,-119.4731,4,Medium
82,35.4047,-119.4731,5,High
68.6,35.4028,-119.47,6,High
68.6,35.4028,-119.47,7,High
222.5,35.6277,-120.6855,1,Low
222.5,35.6277,-120.6855,2,Low
222.5,35.6277,-120.6855,3,Low
222.5,35.6277,-120.6855,4,Medium
222.5,35.6277,-120.6855,5,Medium
222.5,35.6277,-120.6855,6,Medium
222.5,35.6277,-120.6855,7,High
222.5,35.6277,-120.6855,8,High
222.5,35.6277,-120.6855,9,High
222.5,35.6277,-120.6855,10,Medium
222.5,35.6277,-120.6855,11,Low
222.5,35.6277,-120.6855,12,Low
222.5,35.6277,-120.6855,1,Low
222.5,35.6277,-120.6855,2,Low
222.5,35.6277,-120.6855,3,Low
222.5,35.6277,-120.6855,4,Medium
222.5,35.6277,-120.6855,5,Medium
222.5,35.6277,-120.6855,6,High
222.5,35.6277,-120.6855,7,High
222.5,35.6277,-120.6855,8,High
222.5,35.6277,-120.6855,9,High
222.5,35.6277,-120.6855,10,Medium
222.5,35.6277,-120.6855,11,Medium
222.5,35.6277,-120.6855,12,Low
222.5,35.6277,-120.6855,1,Low
222.5,35.6277,-120.6855,2,Low
222.5,35.6277,-120.6855,3,Medium
222.5,35.6277,-120.6855,4,Medium
222.5,35.6277,-120.6855,5,Medium
222.5,35.6277,-120.6855,6,High
222.5,35.6277,-120.6855,7,High
222.5,35.6277,-120.6855,8,High
222.5,35.6277,-120.6855,9,High
222.5,35.6277,-120.6855,10,Medium
222.5,35.6277,-120.6855,11,Medium
222.5,35.6277,-120.6855,12,Low
222.5,35.6277,-120.6855,1,Low
222.5,35.6277,-120.6855,2,Medium
222.5,35.6277,-120.6855,3,Medium
222.5,35.6277,-120.6855,4,Medium
222.5,35.6277,-120.6855,5,High
222.5,35.6277,-120.6855,6,High
222.5,35.6277,-120.6855,7,High
256,33.9511,-117.388,1,Low
256,33.9511,-117.388,2,Medium
256,33.9511,-117.388,3,Medium
256,33.9511,-117.388,4,Medium
256,33.9511,-117.388,5,Medium
256,33.9511,-117.388,6,Medium
256,33.9511,-117.388,7,High
256,33.9511,-117.388,8,Medium
256,33.9511,-117.388,9,Medium
256,33.9511,-117.388,10,High
256,33.9511,-117.388,11,Medium
256,33.9511,-117.388,12,Medium
256,33.9511,-117.388,1,Medium
256,33.9511,-117.388,2,Medium
256,33.9511,-117.388,3,Medium
256,33.9511,-117.388,4,Low
256,33.9511,-117.388,5,High
256,33.9511,-117.388,6,High
256,33.9511,-117.388,7,High
256,33.9511,-117.388,8,High
256,33.9511,-117.388,9,High
256,33.9511,-117.388,10,High
256,33.9511,-117.388,11,Medium
256,33.9511,-117.388,12,Medium
256,33.9511,-117.388,1,Medium
256,33.9511,-117.388,2,Medium
256,33.9511,-117.388,3,Medium
256,33.9511,-117.388,4,Medium
256,33.9511,-117.388,5,High
256,33.9511,-117.388,6,High
256,33.9511,-117.388,7,High
256,33.9511,-117.388,8,High
256,33.9511,-117.388,9,High
256,33.9511,-117.388,10,High
256,33.9511,-117.388,11,Medium
256,33.9511,-117.388,12,Medium
256,33.9511,-117.388,1,Medium
256,33.9511,-117.388,2,Medium
256,33.9511,-117.388,3,Medium
256,33.9511,-117.388,4,High
256,33.9511,-117.388,5,High
256,33.9511,-117.388,6,High
256,33.9511,-117.388,7,High
1011.9,39.165,-120.8566,1,None
1011.9,39.165,-120.8566,2,None
1011.9,39.165,-120.8566,3,None
1011.9,39.165,-120.8566,4,None
1011.9,39.165,-120.8566,5,None
1011.9,39.165,-120.8566,6,None
1011.9,39.165,-120.8566,7,None
1011.9,39.165,-120.8566,8,None
1011.9,39.165,-120.8566,9,None
1011.9,39.165,-120.8566,10,None
1011.9,39.165,-120.8566,11,None
1011.9,39.165,-120.8566,12,None
1011.9,39.165,-120.8566,1,None
1011.9,39.165,-120.8566,2,None
1011.9,39.165,-120.8566,3,None
1011.9,39.165,-120.8566,4,None
1011.9,39.165,-120.8566,5,None
1011.9,39.165,-120.8566,6,None
